"filename", "language", "YAML", "XML", "JSON", "HTML", "Dart", "Markdown", "C++", "Groovy", "Swift", "Properties", "Java", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"/home/satendra/Workspace/campus health/project/cht/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 8, 59
"/home/satendra/Workspace/campus health/project/cht/android/app/google-services.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
"/home/satendra/Workspace/campus health/project/cht/android/app/src/debug/AndroidManifest.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/AndroidManifest.xml", "XML", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 66
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/AppConstants.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/DataBaseManager.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 1, 19, 146
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/LocationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 37, 14, 125
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 8, 10, 91
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/OnBootService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 6, 3, 48
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/SQLDBHelper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 4, 9, 90
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/UserLocation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 18, 110
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/res/drawable/applogo.xml", "XML", 0, 5095, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5096
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/res/values-night/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/res/values/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/satendra/Workspace/campus health/project/cht/android/app/src/profile/AndroidManifest.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/home/satendra/Workspace/campus health/project/cht/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"/home/satendra/Workspace/campus health/project/cht/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"/home/satendra/Workspace/campus health/project/cht/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"/home/satendra/Workspace/campus health/project/cht/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/home/satendra/Workspace/campus health/project/cht/android/settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/satendra/Workspace/campus health/project/cht/assets/appLogo.svg", "XML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
