"filename", "language", "YAML", "Dart", "HTML", "C++", "XML", "Swift", "JSON", "Markdown", "Groovy", "Properties", "Java", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"/home/satendra/Workspace/campus health/project/cht/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 3, 8, 69
"/home/satendra/Workspace/campus health/project/cht/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 92
"/home/satendra/Workspace/campus health/project/cht/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 11, 3, 71
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 8, 13, 121
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/constants/AppConstants.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 9, 30
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/constants/Index.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/models/UserSurroundingsData.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 25, 165
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/OnBootService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 3, 43
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/UserDataService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 20, 22, 167
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/database/DataBaseManager.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 80, 9, 138
