"filename", "language", "Dart", "Markdown", "Groovy", "Properties", "XML", "JSON", "Java", "YAML", "HTML", "C++", "Swift", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/satendra/Workspace/campus health/project/cht/android/app/build.gradle", "Groovy", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 73
"/home/satendra/Workspace/campus health/project/cht/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 92
"/home/satendra/Workspace/campus health/project/cht/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 11, 3, 74
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 8, 14, 130
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/constants/AppConstants.java", "Java", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 9, 32
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/models/UserSurroundingsData.java", "Java", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 95, 21, 222
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/EndPoints.java", "Java", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/OnBootService.java", "Java", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 6, 3, 43
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/UserDataService.java", "Java", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 28, 33, 233
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/database/DataBaseManager.java", "Java", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 10, 54
"/home/satendra/Workspace/campus health/project/cht/android/app/src/main/java/com/iitbhu/cht/services/database/SQLDBHelper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 94
